class_id,predictions_0.01,predictions_0.5,predictions_0.55,predictions_0.6,predictions_0.65,predictions_0.7,predictions_0.75,predictions_0.8,predictions_0.85,predictions_0.9,predictions_0.95
84258,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
84259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84264,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84267,0,0,0,0,0,0,0,0,0,0,0
84271,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84272,0,0,0,0,0,0,0,0,NULL,NULL,NULL
84273,0,0,0,0,0,0,0,0,0,0,0
84274,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84276,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84277,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84282,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
84283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84284,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
84292,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84293,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL
84294,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84530,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84531,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84532,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84533,0,0,0,0,0,0,0,0,0,0,0
84534,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
84535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84536,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84537,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84538,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84540,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84542,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84543,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
84544,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
